gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
325,548,423,2392.479751,839,941.1980495,350.5
334,1871,424.3,2418.301113,847,942.405368,2424.2
282,710,426.8,2423.280864,849,943.2026314,527.1
342,286,429.1,2427.381676,853,943.8584062,277.3
349,511,429.6,2466.399255,858,944.1476337,319.9
323,416,430.3,2470.275041,862,945.0661152,1407.1
303,260,431.5,2473.514326,902,945.2544537,458.2
338,270,431.9,2485.778413,912,945.8590755,461.5
318,244,432.1,2489.602557,971,946.1688454,320.6
340,1921,432.1,2495.679617,982,946.2874808,2397.5
290,2088,432.5,2513.352511,991,946.8346277,508.7
337,240,434.1,2522.15879,1229,947.4395754,371.6
395,816,435.9,2589.193525,1321,947.9559634,300.3
342,275,436.4,2589.963859,1372,949.1469769,455
278,441,437.6,2979.739321,1482,949.1833135,501
327,165,438.1,228.0534814,1595,949.1935318,306.6
305,1396,439,239.3061035,1614,949.197595,1676.3
290,325,439.9,244.2113181,1654,949.9081764,1816.4
284,243,440.7,249.1128032,1726,951.247672,309.8
281,2729,440.8,253.9485905,1742,952.2765761,266.7
330,2149,445.7,258.5330378,1850,952.4124296,2434
326,393,449.7,258.966533,1854,953.284473,290.9
326,465,451.6,266.3933496,1880,953.4299482,500.4
351,1544,453.9,266.9500161,1947,954.3372218,1835.3
339,1760,454.1,268.5578937,1961,955.0600958,294.4
321,403,457.1,269.2998558,1965,956.0454314,469.3
321,334,457.7,270.1035517,2012,957.5834846,2194.2
331,2458,461,285.2930943,2037,957.6971701,2394.8
306,891,462,304.3220678,2080,958.9294694,1862.6
331,446,462.3,320.2287603,2190,961.0886211,2453
745,215,462.9,361.2571209,2193,965.6453513,537.3
293,271,470.4,409.7738827,2266,970.1392249,294.9
344,429,513.5,468.0676364,2346,973.2617193,841.6
320,2164,568.1,1480.129647,2356,974.3664277,356.5
469,1119,596.1,1617.745415,2392,983.9886777,1872.9
337,161,766.3,1731.898401,2395,998.0365241,505.2
321,239,770.3,1770.171593,2397,1040.424505,1776.3
